,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,
1,21699936.86,24.5,,21699947.17,24.50,,21699928.21,24.50,,21699950.31,24.50,,21699926.00,24.50,,21699939.62,24.50,,21699953.66,24.25,,21699943.17,24.50,
2,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm,Frequency,Temp,ppm
3,21699937.05,24.5,0.009,21699947.24,24.50,0.003,21699928.26,24.50,0.002,21699950.37,24.50,0.002,21699926.01,24.50,0.000,21699939.66,24.50,0.002,21699953.63,24.50,-0.001,21699943.18,24.25,0.001
4,21699936.96,24.5,0.004,21699947.20,24.50,0.002,21699928.19,24.50,-0.001,21699950.35,24.50,0.002,21699926.03,24.50,0.001,21699939.64,24.50,0.001,21699953.66,24.50,-0.000,21699943.23,24.50,0.003
5,21699937.02,24.5,0.007,21699947.26,24.50,0.004,21699928.27,24.50,0.003,21699950.38,24.50,0.003,21699926.05,24.25,0.002,21699939.65,24.25,0.002,21699953.69,24.25,0.001,21699943.25,24.25,0.004
6,21699936.97,24.5,0.005,21699947.28,24.50,0.005,21699928.28,24.50,0.003,21699950.42,24.50,0.005,21699926.08,24.25,0.004,21699939.71,24.25,0.004,21699953.66,24.25,-0.000,21699943.23,24.25,0.003
7,21699936.99,24.5,0.006,21699947.25,24.50,0.004,21699928.25,24.50,0.001,21699950.36,24.50,0.002,21699926.07,24.50,0.003,21699939.68,24.50,0.003,21699953.71,24.50,0.002,21699943.19,24.50,0.001
8,21699937.07,24.25,0.009,21699947.19,24.25,0.001,21699928.21,24.25,0.000,21699950.32,24.25,0.000,21699925.98,24.50,-0.001,21699939.63,24.50,0.001,21699953.61,24.50,-0.003,21699943.11,24.50,-0.002
9,21699937.05,24.25,0.009,21699947.20,24.25,0.002,21699928.33,24.25,0.005,21699950.44,24.25,0.006,21699926.05,24.25,0.002,21699939.68,24.25,0.003,21699953.63,24.25,-0.001,21699943.12,24.00,-0.002
10,21699936.98,24,0.005,21699947.12,24.25,-0.002,21699928.22,24.25,0.000,21699950.28,24.25,-0.002,21699925.96,24.25,-0.002,21699939.61,24.25,-0.001,21699953.61,24.25,-0.002,21699943.08,24.25,-0.004
11,21699936.99,24,0.006,21699946.95,24.00,-0.010,21699928.20,24.00,-0.001,21699950.26,24.00,-0.003,21699925.87,24.25,-0.006,21699939.51,24.00,-0.005,21699953.45,24.25,-0.010,21699942.92,24.00,-0.011
12,21699936.95,23.75,0.004,21699946.84,23.75,-0.015,21699928.09,23.75,-0.006,21699950.11,23.75,-0.009,21699925.65,24.00,-0.016,21699939.34,24.00,-0.013,21699953.35,24.00,-0.014,21699942.83,24.00,-0.015
13,21699936.86,23.5,0,21699946.75,23.50,-0.019,21699928.04,23.50,-0.008,21699950.07,23.50,-0.011,21699925.67,23.75,-0.015,21699939.31,23.75,-0.014,21699953.24,23.50,-0.019,21699942.73,23.75,-0.020
14,21699936.86,23.25,0,21699946.67,23.25,-0.023,21699928.01,23.25,-0.010,21699949.95,23.25,-0.017,21699925.50,23.50,-0.023,21699939.13,23.50,-0.022,21699953.16,23.50,-0.023,21699942.67,23.50,-0.023
15,21699936.81,23,-0.002,21699946.46,23.00,-0.033,21699927.97,23.00,-0.011,21699949.88,23.00,-0.020,21699925.44,23.25,-0.026,21699939.07,23.25,-0.025,21699953.09,23.25,-0.026,21699942.61,23.25,-0.025
16,21699936.76,22.5,-0.005,21699946.34,22.50,-0.038,21699927.92,22.50,-0.014,21699949.78,22.50,-0.025,21699925.35,23.00,-0.030,21699938.96,23.00,-0.031,21699953.02,23.00,-0.030,21699942.55,23.00,-0.028
17,21699936.78,22.25,-0.004,21699946.25,22.25,-0.042,21699927.91,22.25,-0.014,21699949.73,22.25,-0.027,21699925.27,22.75,-0.034,21699938.86,22.75,-0.035,21699952.93,22.75,-0.034,21699942.48,22.75,-0.031
18,21699936.71,21.75,-0.007,21699946.07,21.75,-0.050,21699927.80,21.75,-0.019,21699949.60,21.75,-0.033,21699925.15,22.25,-0.039,21699938.74,22.25,-0.040,21699952.76,22.25,-0.042,21699942.35,22.25,-0.038
19,21699936.68,21.5,-0.009,21699945.87,21.50,-0.060,21699927.72,21.50,-0.023,21699949.51,21.50,-0.037,21699925.04,22.00,-0.044,21699938.64,22.00,-0.045,21699952.65,22.00,-0.047,21699942.32,22.00,-0.039
20,21699936.7,21,-0.007,21699945.75,21.00,-0.066,21699927.66,21.00,-0.026,21699949.51,21.00,-0.037,21699924.99,21.50,-0.046,21699938.59,21.50,-0.047,21699952.56,21.50,-0.051,21699942.27,21.50,-0.041
21,21699936.7,20.5,-0.008,21699945.62,20.50,-0.071,21699927.65,20.50,-0.026,21699949.46,20.50,-0.039,21699924.91,21.25,-0.050,21699938.54,21.25,-0.050,21699952.49,21.00,-0.054,21699942.27,21.25,-0.041
22,21699936.67,20,-0.009,21699945.45,20.00,-0.079,21699927.53,20.00,-0.032,21699949.35,20.00,-0.044,21699924.73,21.00,-0.059,21699938.29,21.00,-0.061,21699952.25,20.75,-0.065,21699942.10,20.50,-0.049
23,21699936.63,19.5,-0.011,21699945.27,19.50,-0.087,21699927.50,19.50,-0.033,21699949.32,19.50,-0.046,21699924.70,20.50,-0.060,21699938.39,20.50,-0.057,21699952.24,20.50,-0.066,21699942.16,20.25,-0.046
24,21699936.61,19,-0.012,21699945.09,19.00,-0.096,21699927.39,19.00,-0.038,21699949.23,19.00,-0.050,21699924.59,20.00,-0.065,21699938.32,20.00,-0.060,21699952.14,20.00,-0.070,21699942.14,20.00,-0.047
25,21699936.7,18.5,-0.007,21699944.97,18.50,-0.101,21699927.35,18.50,-0.040,21699949.22,18.50,-0.051,21699924.52,19.50,-0.069,21699938.21,19.25,-0.065,21699952.05,19.25,-0.074,21699942.15,19.25,-0.047
26,21699936.66,18,-0.009,21699944.79,18.00,-0.109,21699927.31,18.00,-0.042,21699949.23,18.00,-0.050,21699924.55,18.75,-0.067,21699938.25,18.75,-0.063,21699952.05,18.75,-0.074,21699942.20,18.75,-0.044
27,21699936.58,17.5,-0.013,21699944.57,17.50,-0.119,21699927.25,17.50,-0.044,21699949.21,17.25,-0.051,21699924.43,18.25,-0.072,21699938.18,18.25,-0.066,21699951.96,18.25,-0.078,21699942.18,18.25,-0.046
28,21699936.64,17,-0.01,21699944.41,17.00,-0.127,21699927.23,16.75,-0.045,21699949.18,16.75,-0.052,21699924.32,17.75,-0.078,21699938.12,17.75,-0.069,21699951.89,17.50,-0.082,21699942.25,17.50,-0.042
29,21699936.66,16.25,-0.01,21699944.19,16.25,-0.137,21699927.02,16.25,-0.055,21699949.05,16.25,-0.058,21699924.21,17.25,-0.083,21699937.99,17.00,-0.075,21699951.73,17.25,-0.089,21699942.18,17.25,-0.045
30,21699936.58,15.75,-0.013,21699943.98,15.75,-0.147,21699927.07,15.75,-0.053,21699949.10,15.75,-0.056,21699924.18,16.75,-0.084,21699938.05,16.75,-0.072,21699951.77,16.75,-0.087,21699942.28,16.75,-0.041
31,21699936.49,15.25,-0.017,21699943.82,15.00,-0.154,21699927.00,15.00,-0.056,21699949.07,15.00,-0.057,21699924.10,16.00,-0.088,21699938.04,16.00,-0.073,21699951.69,16.00,-0.091,21699942.41,16.00,-0.035
32,21699936.53,14.5,-0.015,21699943.72,14.50,-0.159,21699926.97,14.50,-0.057,21699949.06,14.50,-0.058,21699924.11,15.50,-0.087,21699938.03,15.50,-0.073,21699951.69,15.50,-0.091,21699942.50,15.25,-0.031
33,21699936.54,14,-0.015,21699943.60,14.00,-0.164,21699926.98,14.00,-0.057,21699949.14,14.00,-0.054,21699924.07,14.75,-0.089,21699938.12,14.75,-0.069,21699951.67,14.75,-0.092,21699942.66,14.75,-0.023
34,21699936.52,13.25,-0.016,21699943.47,13.25,-0.170,21699926.97,13.25,-0.057,21699949.18,13.25,-0.052,21699924.11,14.00,-0.087,21699938.14,14.00,-0.068,21699951.66,14.00,-0.092,21699942.81,14.00,-0.016
35,21699936.47,12.75,-0.018,21699943.36,12.50,-0.175,21699927.00,12.50,-0.056,21699949.27,12.50,-0.048,21699924.18,13.75,-0.084,21699938.20,13.75,-0.065,21699951.68,13.75,-0.091,21699942.96,13.75,-0.010
36,21699936.42,12,-0.02,21699943.29,12.00,-0.179,21699927.01,12.00,-0.056,21699949.28,12.00,-0.048,21699924.18,13.00,-0.084,21699938.27,13.00,-0.062,21699951.68,13.00,-0.091,21699943.07,13.00,-0.005
37,21699936.45,11.5,-0.019,21699943.25,11.25,-0.180,21699926.99,11.25,-0.056,21699949.40,11.25,-0.042,21699924.27,12.25,-0.080,21699938.38,12.25,-0.057,21699951.77,12.25,-0.087,21699943.25,12.25,0.004
38,21699936.44,10.75,-0.019,21699943.16,10.75,-0.184,21699927.04,10.75,-0.054,21699949.43,10.75,-0.041,21699924.27,11.75,-0.080,21699938.43,11.50,-0.055,21699951.75,11.50,-0.088,21699943.42,11.50,0.012
39,21699936.26,10,-0.028,21699943.08,10.00,-0.188,21699927.07,10.00,-0.053,21699949.57,10.00,-0.034,21699924.38,11.00,-0.075,21699938.55,11.00,-0.049,21699951.80,10.75,-0.086,21699943.56,10.75,0.018
40,21699936.34,9.5,-0.024,21699943.21,9.25,-0.183,21699927.30,9.25,-0.042,21699949.86,9.25,-0.021,21699924.65,10.50,-0.062,21699938.83,10.50,-0.036,21699952.00,10.25,-0.077,21699943.93,10.00,0.035
41,21699936.28,8.75,-0.027,21699943.19,8.50,-0.183,21699927.35,8.50,-0.040,21699949.98,8.50,-0.015,21699924.76,9.75,-0.057,21699938.97,9.75,-0.030,21699952.16,9.75,-0.069,21699944.16,9.50,0.046
42,21699936.31,8,-0.026,21699943.27,8.00,-0.180,21699927.49,8.00,-0.033,21699950.14,7.75,-0.008,21699924.84,9.00,-0.053,21699939.19,9.00,-0.020,21699952.22,9.00,-0.066,21699944.31,9.00,0.053
43,21699936.25,7.25,-0.029,21699943.19,7.25,-0.183,21699927.48,7.25,-0.034,21699950.23,7.25,-0.004,21699924.95,8.25,-0.048,21699939.18,8.25,-0.020,21699952.20,8.25,-0.067,21699944.38,8.00,0.056
44,21699936.2,6.5,-0.031,21699943.26,6.50,-0.180,21699927.70,6.50,-0.024,21699950.48,6.50,0.008,21699925.18,7.50,-0.038,21699939.48,7.50,-0.006,21699952.40,7.50,-0.058,21699944.61,7.50,0.067
45,21699936.15,5.75,-0.033,21699943.31,5.75,-0.178,21699927.77,5.75,-0.020,21699950.64,5.75,0.015,21699925.27,7.00,-0.034,21699939.74,7.00,0.006,21699952.51,7.00,-0.053,21699944.74,6.75,0.072
46,21699936.19,5.25,-0.031,21699943.35,5.00,-0.176,21699927.95,5.00,-0.012,21699950.83,5.00,0.024,21699925.47,6.25,-0.024,21699939.84,6.25,0.010,21699952.59,6.00,-0.049,21699944.84,6.00,0.077
47,21699936.25,4.5,-0.028,21699943.48,4.25,-0.170,21699928.13,4.25,-0.004,21699951.04,4.25,0.033,21699925.62,5.50,-0.017,21699940.01,5.25,0.018,21699952.71,5.25,-0.044,21699944.85,5.25,0.078
48,21699936.18,3.75,-0.032,21699943.50,3.50,-0.169,21699928.22,3.50,0.000,21699951.17,3.50,0.039,21699925.70,4.75,-0.014,21699940.18,4.50,0.026,21699952.73,4.50,-0.043,21699944.84,4.50,0.077
49,21699936.08,3,-0.036,21699943.52,2.75,-0.168,21699928.29,2.75,0.003,21699951.30,2.75,0.046,21699925.80,3.75,-0.009,21699940.29,3.75,0.031,21699952.80,3.75,-0.040,21699944.84,3.75,0.077
50,21699936.13,2.25,-0.034,21699943.48,2.00,-0.170,21699928.39,2.00,0.008,21699951.46,2.00,0.053,21699925.95,3.00,-0.002,21699940.43,3.00,0.038,21699952.81,3.00,-0.039,21699944.79,3.25,0.075
51,21699936.07,1.5,-0.037,21699943.47,1.25,-0.171,21699928.48,1.25,0.012,21699951.51,1.25,0.055,21699926.09,2.25,0.004,21699940.57,2.25,0.044,21699952.86,2.25,-0.037,21699944.69,2.25,0.070
52,21699936.1,0.5,-0.035,21699943.49,0.50,-0.169,21699928.54,0.50,0.015,21699951.63,0.50,0.061,21699926.13,1.75,0.006,21699940.59,1.75,0.045,21699952.84,1.50,-0.038,21699944.54,1.50,0.063
53,21699936.17,-0.25,-0.032,21699943.47,-0.25,-0.170,21699928.56,-0.25,0.016,21699951.65,-0.25,0.062,21699926.11,0.75,0.005,21699940.57,0.75,0.044,21699952.71,0.75,-0.044,21699944.32,0.75,0.053
54,21699936.29,-1,-0.027,21699943.59,-1.00,-0.165,21699928.72,-1.00,0.023,21699951.77,-1.00,0.067,21699926.16,0.00,0.007,21699940.64,0.00,0.047,21699952.74,-0.25,-0.042,21699944.16,-0.25,0.046
55,21699936.36,-1.75,-0.023,21699943.47,-1.75,-0.170,21699928.68,-1.75,0.021,21699951.80,-1.75,0.069,21699926.18,-0.75,0.008,21699940.58,-0.75,0.044,21699952.61,-0.75,-0.049,21699943.91,-1.00,0.034
56,21699936.34,-2.5,-0.024,21699943.27,-2.50,-0.180,21699928.55,-2.50,0.015,21699951.64,-2.50,0.061,21699926.02,-1.25,0.001,21699940.51,-1.50,0.041,21699952.50,-1.50,-0.054,21699943.66,-1.50,0.023
57,21699936.47,-3.25,-0.018,21699943.24,-3.25,-0.181,21699928.53,-3.25,0.015,21699951.60,-3.25,0.059,21699925.90,-2.25,-0.005,21699940.34,-2.25,0.033,21699952.31,-2.25,-0.062,21699943.34,-2.25,0.008
58,21699936.54,-4,-0.015,21699943.21,-4.00,-0.182,21699928.42,-4.00,0.010,21699951.52,-4.25,0.055,21699925.81,-3.00,-0.009,21699940.28,-3.00,0.030,21699952.22,-3.25,-0.067,21699943.11,-3.25,-0.002
59,21699936.66,-4.75,-0.009,21699943.31,-4.75,-0.178,21699928.30,-4.75,0.004,21699951.46,-5.00,0.053,21699925.68,-4.00,-0.015,21699940.11,-4.00,0.023,21699952.03,-4.00,-0.075,21699942.87,-4.00,-0.013
60,21699936.73,-5.5,-0.006,21699943.05,-5.50,-0.190,21699928.22,-5.75,0.000,21699951.31,-5.75,0.046,21699925.56,-4.50,-0.020,21699939.96,-4.50,0.016,21699951.95,-4.50,-0.079,21699942.61,-4.50,-0.026
